Sample_ID	taxa1	taxa2	taxa3	taxa4	taxa5	taxa6	taxa7	taxa8	taxa9	taxa10	taxa11	taxa12	taxa13	taxa14	taxa15	taxa16	taxa17	taxa18	taxa19	taxa20	C	N	P	K	Biome	Lat	Long
sample_44_	405	0	0	0	307	733	462	336	200	0	227	71	0	0	0	0	765	963	0	0	39	84	10	60	Argentina	3.7289	-476.848
sample_45_	0	706	689	716	246	0	178	0	151	0	242	616	0	0	0	551	873	523	965	0	14	10	62	41	Argentina	-199.759	-401.428
sample_46_	642	0	859	0	680	430	0	0	538	360	766	0	0	0	960	320	0	897	0	0	21	74	31	50	Argentina	-44.187	-368.161
sample_47_	352	0	271	200	0	0	594	0	0	587	344	841	0	0	96	0	0	80	968	0	23	56	95	5	Argentina	-174.085	-346.978
sample_48_	0	213	878	706	313	0	0	0	0	0	101	0	849	0	0	0	933	427	0	0	58	78	11	98	Argentina	-239.071	-505.257
sample_49_	506	296	660	17	887	397	781	634	0	487	0	0	0	620	0	0	0	0	868	974	18	60	90	87	Argentina	-191.717	-412.698
sample_50_	312	0	0	539	0	0	342	876	731	0	0	0	758	0	0	285	393	577	0	0	79	69	72	27	Argentina	-334.105	-732.891
sample_51_	921	0	0	0	781	0	692	967	659	723	251	357	767	742	309	989	840	0	146	0	62	92	55	6	Pampa	-213.288	-497.969
sample_52_	0	0	0	665	0	377	247	0	974	423	0	0	0	799	485	588	0	317	0	340	55	59	40	30	Pampa	-23.332	-393.906
sample_53_	390	0	0	922	0	0	0	457	372	159	0	708	232	0	993	779	995	0	606	172	43	3	16	45	Pampa	-279.266	-651.558
sample_54_	0	0	500	0	0	0	0	0	0	103	616	0	158	0	0	939	0	35	0	811	56	66	92	36	Pampa	-135.976	-460.411
sample_55_	0	0	0	0	0	0	727	0	155	469	0	173	170	0	0	679	887	603	0	988	99	83	17	91	Pampa	-237.077	-519.027
sample_56_	919	0	320	625	0	319	633	408	435	845	0	0	229	0	860	229	230	515	0	369	29	95	83	56	Pampa	-220.112	-359.451
sample_57_	0	0	377	474	0	0	0	20	0	890	0	453	409	638	782	0	436	0	0	727	22	97	48	88	Pampa	-153.764	-571.675
sample_58_	0	0	885	505	0	0	267	0	104	895	0	0	0	0	413	0	0	0	0	617	56	10	16	66	Pampa	-276.106	-625.446
sample_59_	162	375	350	393	0	0	759	410	0	679	630	120	0	665	791	584	0	0	819	100	63	43	87	53	Pampa	-301.257	-370.922
sample_60_	561	0	0	0	595	49	436	142	0	354	544	479	878	683	661	0	0	0	0	187	19	20	96	81	Pampa	-102.671	-478.498
